,date,text_length
0,2011-07-15,30
1,2011-07-18,29
2,2011-07-19,29
3,2011-07-20,32
4,2011-07-21,33
5,2011-07-22,19
6,2011-07-25,34
7,2011-07-26,33
8,2011-07-27,24
9,2011-07-28,14
10,2011-07-29,38
11,2011-08-01,77
12,2011-08-02,73
13,2011-08-03,93
14,2011-08-04,37
15,2011-08-05,40
16,2011-08-09,52
17,2011-08-10,35
18,2011-08-11,40
19,2011-08-12,29
20,2011-08-14,78
21,2011-08-15,38
22,2011-08-16,44
23,2011-08-17,42
24,2011-08-18,42
25,2011-08-19,29
26,2011-08-22,47
27,2011-08-23,53
28,2011-08-24,47
29,2011-08-25,41
30,2011-08-26,34
31,2011-08-29,66
32,2011-08-30,42
33,2011-08-31,38
34,2011-09-01,27
35,2011-09-02,61
36,2011-09-06,68
37,2011-09-07,60
38,2011-09-08,52
39,2011-09-09,52
40,2011-09-12,42
41,2011-09-13,38
42,2011-09-14,66
43,2011-09-15,54
44,2011-09-16,56
45,2011-09-19,52
46,2011-09-20,52
47,2011-09-21,87
48,2011-09-22,116
49,2011-09-23,104
50,2011-09-26,72
51,2011-09-27,76
52,2011-09-28,69
53,2011-09-29,78
54,2011-09-30,74
55,2011-10-03,79
56,2011-10-04,65
57,2011-10-05,87
58,2011-10-06,90
59,2011-10-07,101
60,2011-10-10,120
61,2011-10-11,90
62,2011-10-12,80
63,2011-10-13,88
64,2011-10-14,67
65,2011-10-17,79
66,2011-10-18,64
67,2011-10-19,79
68,2011-10-20,96
69,2011-10-21,83
70,2011-10-24,87
71,2011-10-25,87
72,2011-10-26,108
73,2011-10-27,76
74,2011-10-28,95
75,2011-10-31,118
76,2011-11-01,85
77,2011-11-02,107
78,2011-11-03,106
79,2011-11-04,93
80,2011-11-07,109
81,2011-11-08,126
82,2011-11-09,122
83,2011-11-10,123
84,2011-11-11,127
85,2011-11-14,115
86,2011-11-15,100
87,2011-11-16,101
88,2011-11-17,128
89,2011-11-18,96
90,2011-11-28,104
91,2011-11-29,81
92,2011-11-30,211
93,2011-12-01,205
94,2011-12-02,126
95,2011-12-05,108
96,2011-12-06,142
97,2011-12-07,169
98,2011-12-08,140
99,2011-12-09,124
100,2011-12-12,144
101,2011-12-13,111
102,2011-12-14,126
103,2011-12-15,141
104,2011-12-16,154
105,2011-12-19,157
106,2011-12-20,113
107,2011-12-21,99
108,2012-01-03,110
109,2012-01-04,164
110,2012-01-05,120
111,2012-01-06,171
112,2012-01-09,151
113,2012-01-10,81
114,2012-01-11,120
115,2012-01-12,139
116,2012-01-13,123
117,2012-01-17,153
118,2012-01-18,129
119,2012-01-19,79
120,2012-01-20,155
121,2012-01-23,123
122,2012-01-24,104
123,2012-01-25,134
124,2012-01-26,127
125,2012-01-27,216
126,2012-01-30,189
127,2012-01-31,187
128,2012-02-01,168
129,2012-02-02,169
130,2012-02-03,195
131,2012-02-06,149
132,2012-02-07,162
133,2012-02-08,139
134,2012-02-09,111
135,2012-02-10,222
136,2012-02-13,257
137,2012-02-14,100
138,2012-02-15,218
139,2012-02-16,215
140,2012-02-17,150
141,2012-02-21,242
142,2012-02-22,190
143,2012-02-23,209
144,2012-02-24,291
145,2012-02-27,162
146,2012-02-28,194
147,2012-02-29,227
148,2012-03-01,186
149,2012-03-02,171
150,2012-03-05,213
151,2012-03-06,211
152,2012-03-07,249
153,2012-03-08,256
154,2012-03-12,271
155,2012-03-13,232
156,2012-03-14,206
157,2012-03-15,174
158,2012-03-16,208
159,2012-03-19,254
160,2012-03-20,174
161,2012-03-21,271
162,2012-03-22,182
163,2012-03-23,192
164,2012-03-26,233
165,2012-03-27,227
166,2012-03-28,159
167,2012-03-29,237
168,2012-03-30,198
169,2012-04-02,189
170,2012-04-04,218
171,2012-04-05,255
172,2012-04-06,197
173,2012-04-10,247
174,2012-04-11,194
175,2012-04-12,182
176,2012-04-13,274
177,2012-04-16,302
178,2012-04-18,256
179,2012-04-19,287
180,2012-04-20,262
181,2012-04-24,223
182,2012-04-25,283
183,2012-04-26,214
184,2012-04-27,247
185,2012-04-30,293
186,2012-05-01,281
187,2012-05-02,318
188,2012-05-03,196
189,2012-05-04,191
190,2012-05-09,204
191,2012-05-16,201
192,2012-05-17,183
193,2012-05-18,306
194,2012-05-21,215
195,2012-05-22,215
196,2012-05-23,230
197,2012-05-24,197
198,2012-05-25,275
199,2012-05-30,362
200,2012-05-31,196
201,2012-06-01,242
202,2012-06-19,152
203,2012-06-20,183
204,2012-06-21,196
205,2012-06-26,150
206,2012-06-27,137
207,2012-06-28,161
208,2012-06-29,222
209,2012-07-02,142
210,2012-07-03,167
211,2012-07-05,165
212,2012-07-06,270
213,2012-07-09,303
214,2012-07-10,287
215,2012-07-11,185
216,2012-07-12,280
217,2012-07-13,199
218,2012-07-16,235
219,2012-07-17,197
220,2012-07-18,210
221,2012-07-19,197
222,2012-07-20,238
223,2012-07-23,218
224,2012-07-24,172
225,2012-07-25,169
226,2012-07-26,139
227,2012-07-27,210
228,2012-07-30,323
229,2012-07-31,190
230,2012-08-01,237
231,2012-08-02,204
232,2012-08-03,190
233,2012-08-06,254
234,2012-08-07,210
235,2012-08-08,230
236,2012-08-09,277
237,2012-08-10,242
238,2012-08-13,318
239,2012-08-14,311
240,2012-08-15,185
241,2012-08-16,271
242,2012-08-17,316
243,2012-08-21,282
244,2012-08-22,352
245,2012-08-23,279
246,2012-08-24,147
247,2012-08-27,156
248,2012-08-29,211
